id,name,created_at,updated_at
90,new_record_2,2017-07-28 18:15:23 UTC,2017-07-28 18:15:23 UTC
91,new_record_1,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
92,new_record_2,2017-07-28 19:04:39 UTC,2017-07-28 19:04:39 UTC
93,new_record_1,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
94,new_record_2,2017-07-28 19:06:00 UTC,2017-07-28 19:06:00 UTC
95,new_record_1,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
96,new_record_2,2017-07-28 19:23:38 UTC,2017-07-28 19:23:38 UTC
97,new_record_1,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
98,new_record_2,2017-07-28 19:26:34 UTC,2017-07-28 19:26:34 UTC
99,new_record_1,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
100,new_record_2,2017-07-28 19:27:36 UTC,2017-07-28 19:27:36 UTC
101,new_record_1,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
102,new_record_2,2017-07-28 19:27:49 UTC,2017-07-28 19:27:49 UTC
103,,2017-07-28 19:36:55 UTC,2017-07-28 19:36:55 UTC
104,,2017-07-28 19:36:55 UTC,2017-07-28 19:36:55 UTC
105,,2017-07-28 19:36:55 UTC,2017-07-28 19:36:55 UTC
106,,2017-07-28 19:36:55 UTC,2017-07-28 19:36:55 UTC
107,,2017-07-28 19:37:26 UTC,2017-07-28 19:37:26 UTC
108,,2017-07-28 19:37:26 UTC,2017-07-28 19:37:26 UTC
109,,2017-07-28 19:37:26 UTC,2017-07-28 19:37:26 UTC
110,,2017-07-28 19:37:26 UTC,2017-07-28 19:37:26 UTC
16,mexico,2017-07-25 18:01:27 UTC,2017-07-25 18:01:27 UTC
17,lamar,2017-07-25 18:01:27 UTC,2017-07-25 18:01:27 UTC
18,republic,2017-07-25 18:01:27 UTC,2017-07-25 18:01:27 UTC
